"subid","stimulus","group","DO_SS","SO_DS","SO_SS"
10,"object","YA",0.911765,0.329412,0.388235
10,"scene","YA",0.714706,0.705882,0.361765
11,"object","YA",0.632353,0.582353,0.723529
11,"scene","YA",0.561765,0.820588,0.444118
12,"object","YA",0.823529,0.352941,0.391176
12,"scene","YA",0.655882,0.647059,0.547059
13,"object","YA",0.95,0.523529,0.741176
13,"scene","YA",0.470588,0.752941,0.502941
14,"object","YA",0.732353,0.714706,0.644118
14,"scene","YA",0.214706,0.861765,0.323529
15,"object","YA",1,0.338235,0.405882
15,"scene","YA",0.347059,0.585294,0.794118
16,"object","YA",0.732353,0.15,0.423529
16,"scene","YA",0.355882,0.661765,0.158824
17,"object","YA",1,0.744118,0.644118
17,"scene","YA",0.9,1,0.764706
18,"object","YA",1,0.691176,0.482353
18,"scene","YA",0.682353,1,0.732353
19,"object","YA",0.85,0.682353,0.602941
19,"scene","YA",0.261765,0.641176,0.541176
20,"object","YA",0.920588,0.526471,0.405882
20,"scene","YA",0.711765,0.891176,0.773529
21,"object","YA",0.891176,0.426471,0.744118
21,"scene","YA",0.585294,0.811765,0.773529
22,"object","YA",1,0.744118,0.782353
22,"scene","YA",0.579545,1,0.802941
23,"object","YA",0.444118,0.432353,0.405882
23,"scene","YA",0.305882,0.467647,0.155882
24,"object","YA",0.970588,0.870588,0.811765
24,"scene","YA",0.761765,0.882353,0.611765
25,"object","YA",0.941176,0.744118,0.544118
25,"scene","YA",0.911765,0.882353,0.714706
26,"object","YA",0.852941,0.685294,0.735294
26,"scene","YA",0.552941,0.852941,0.494118
27,"object","YA",0.782353,0.055882,0.373529
27,"scene","YA",0.411765,0.573529,0.344118
28,"object","YA",0.920588,0.761765,0.820588
28,"scene","YA",0.670588,0.861765,0.782353
33,"object","YA",0.970588,0.720588,0.920588
33,"scene","YA",0.491176,0.891176,0.673529
41,"object","YA",0.685294,0.438235,0.138235
41,"scene","YA",0.229412,0.370588,-0.07647
42,"object","YA",0.832353,0.670588,0.791176
42,"scene","YA",0.461765,0.941176,0.441176
43,"object","YA",0.861765,0.382353,0.402941
43,"scene","YA",0.402941,0.685294,0.432353
44,"object","YA",0.794118,0.538235,0.526471
44,"scene","YA",0.358824,0.705882,0.567647
45,"object","YA",0.882353,0.644118,0.714706
45,"scene","YA",0.602941,0.95,0.632353
46,"object","YA",0.655882,-0.05588,0.123529
46,"scene","YA",0.194118,0.852941,0.317647
47,"object","YA",0.882353,0.305882,0.217647
47,"scene","YA",0.541176,0.744118,0.147059
48,"object","YA",0.832353,0.752941,0.752941
48,"scene","YA",0.623529,0.941176,0.614706
49,"object","YA",0.7,0.032353,0.3
49,"scene","YA",0.25,0.65,0.1
50,"object","YA",0.8,0.582353,0.411765
50,"scene","YA",0.191176,0.920588,0.202941
51,"object","YA",0.920588,0.861765,0.682353
51,"scene","YA",0.45,1,0.570588
101,"object","OA",0.791176,0.091176,0.020588
101,"scene","OA",0.282353,0.661765,0.3
102,"object","OA",0.841176,0.623529,0.823529
102,"scene","OA",0.791176,0.794118,0.573529
103,"object","OA",0.832353,0.473529,0.417647
103,"scene","OA",0.852941,0.941176,0.597059
104,"object","OA",1,0.720588,0.711765
104,"scene","OA",0.732353,0.911765,0.597059
105,"object","OA",0.95,0.332353,0.464706
105,"scene","OA",0.311765,0.732353,0.482353
106,"object","OA",0.920588,0.773529,0.882353
106,"scene","OA",0.341176,1,0.661765
107,"object","OA",0.941176,0.488235,0.647059
107,"scene","OA",0.402941,0.632353,0.241176
108,"object","OA",0.741176,0.394118,0.373529
108,"scene","OA",0.511765,0.773529,0.285294
109,"object","OA",0.9,0.091176,0.45
109,"scene","OA",0.491176,0.9,0.55
110,"object","OA",0.882353,0.282353,0.388235
110,"scene","OA",0.558824,0.773529,0.479412
111,"object","OA",0.920588,0.570588,0.652941
111,"scene","OA",0.491176,0.9,0.491176
112,"object","OA",0.95,0.770588,0.652941
112,"scene","OA",0.241176,0.95,0.432353
113,"object","OA",0.85,0.594118,0.652941
113,"scene","OA",0.65,0.9,0.670588
114,"object","OA",0.911765,0.5,0.432353
114,"scene","OA",0.561765,0.670588,0.4
115,"object","OA",0.95,0.832353,0.802941
115,"scene","OA",0.632353,1,0.673529
116,"object","OA",0.9,0.452941,0.314706
116,"scene","OA",0.261765,0.641176,0.461765
117,"object","OA",1,0.373529,0.332353
117,"scene","OA",0.552941,0.95,0.761765
118,"object","OA",1,0.455882,0.614706
118,"scene","OA",0.514706,0.920588,0.414706
119,"object","OA",0.911765,0.702941,0.320588
119,"scene","OA",0.520588,0.761765,0.432353
120,"object","OA",0.970588,0.623529,0.426471
120,"scene","OA",0.744118,0.970588,0.832353
141,"object","OA",0.811765,0.447059,0.414706
141,"scene","OA",0.594118,0.782353,0.623529
142,"object","OA",0.732353,-0.01471,0.285294
142,"scene","OA",0.161765,0.444118,0.235294
143,"object","OA",0.820588,0.605882,0.652941
143,"scene","OA",0.670588,0.970588,0.611765
144,"object","OA",0.770588,0.561765,0.761765
144,"scene","OA",0.641176,0.770588,0.482353
146,"object","OA",0.920588,0.264706,0.347059
146,"scene","OA",0.361765,1,0.670588
147,"object","OA",0.970588,0.217647,0.694118
147,"scene","OA",0.414706,0.735294,0.317647
149,"object","OA",0.85,0.382353,0.473529
149,"scene","OA",0.364706,0.802941,0.323529
151,"object","OA",0.970588,0.694118,0.394118
151,"scene","OA",0.594118,0.882353,0.329412
